"date","lat","long","dayl","prcp","srad","swe","tmax","tmin","vp","EVI","NDVI","ET","LE","PET","PLE","FPAR","LAI","crop","week","year"
"2013-06-14",39.7462623413951,-89.4193702952355,53444.1536356477,3.00970202480026,429.207160932841,0,28.776480038906,16.1700681242768,1854.74191145405,3560.25290057686,5327.46143781148,231.138359232493,705.984941657909,438.628935058484,1339.86457305443,47.6031267466716,12.9183047171896,"2","696",2013
"2013-06-21",39.7462623413951,-89.4193702952355,53462.9774429594,8.97521447212791,337.302199486549,0,30.4955576408076,19.9655845880887,2340.23075319752,4844.86615352377,6919.70359528675,245.746639641873,751.014331881054,424.587779092382,1297.42013310866,56.3242263397284,16.2783500381685,"2","697",2013
"2013-06-28",39.7462623413951,-89.4193702952355,53307.382180539,4.31651133696281,335.489949558778,0,25.5741968686305,16.4813435212378,1889.70040518728,4844.86615352377,6919.70359528675,282.24510807073,862.336006619471,470.726552751366,1438.12120460734,61.9292478670516,19.3327993761568,"2","698",2013
"2013-07-05",39.7462623413951,-89.4193702952355,52983.0350940247,2.33571869463652,373.474112784321,0,29.8133114898402,19.2706287392334,2258.99167668018,6067.21356456955,7666.49801101473,327.417807308692,998.607889965817,535.394478531253,1632.87964706863,67.0509625499587,23.1139919283514,"2","699",2013
"2013-07-12",39.7462623413951,-89.4193702952355,52501.252939949,0.199056619437119,438.08800289715,0,31.5087177148832,18.8773660970622,2221.18971370498,6067.21356456955,7666.49801101473,327.417807308692,998.607889965817,535.394478531253,1632.87964706863,67.0509625499587,23.1139919283514,"2","700",2013
"2013-07-19",39.7462623413951,-89.4193702952355,51877.6625952021,3.34884998101234,381.242394544242,0,29.3186477684899,18.5340582357125,2182.99096461871,6067.21356456955,7666.49801101473,338.060652684848,1031.90687639849,533.172821624399,1627.2771069714,72.7347993755526,27.1921168539795,"2","701",2013
"2013-07-26",39.7462623413951,-89.4193702952355,51130.5541720523,3.36390635482366,376.841069887547,0,24.5254629698291,14.0029292342753,1619.56965186387,6507.99090914594,8098.34176327064,315.355689507151,964.754766031818,479.087463314475,1465.60242059016,73.1152172363734,27.3227784289818,"2","702",2013
"2013-08-02",39.7462623413951,-89.4193702952355,50279.2434921416,2.15289479066856,373.782776241264,0,27.5644024843731,16.9770768792903,1951.0179426175,6507.99090914594,8098.34176327064,306.410463689659,937.111395706579,449.055466116733,1373.29445759947,73.4866222116229,28.054776659549,"2","703",2013
"2013-08-09",39.7462623413951,-89.4193702952355,49342.6998484858,0.861087334607374,410.923848956706,0,26.192347999966,14.5653057243094,1690.05243461306,6278.49010971298,8294.94211374019,305.740042237642,935.083722291226,437.186269867903,1336.90972336558,76.2800355692937,30.8651568231094,"2","704",2013
"2013-08-16",39.7462623413951,-89.4193702952355,48338.5843737737,1.40371700708173,429.350768633981,0,28.5782385935613,15.1359098017181,1741.40515122961,6278.49010971298,8294.94211374019,320.496216279439,978.644400113825,468.638865565696,1430.68894644418,77.7497871813839,31.265237106495,"2","705",2013
"2013-08-23",39.7462623413951,-89.4193702952355,47282.7135039333,0.0094072285945153,397.307175770791,0,31.872016116541,18.9025023248732,2195.74149425095,5547.61996122139,7648.80055945575,301.240730061961,918.008030657912,462.267780616755,1408.47784163647,76.1422246714818,27.9578312531838,"2","706",2013
